PROVIDERID,DAYOFWEEK,SLOTSTARTTIME,SLOTENDTIME
398,1,12:00,12:40
398,1,12:40,13:20
398,1,13:20,14:00
398,1,14:00,14:40
398,1,14:40,15:20
398,1,15:20,16:00
398,1,16:00,16:40
398,1,16:40,17:00
398,2,17:00,17:40
398,2,17:40,18:20
398,2,18:20,19:00
398,2,19:00,19:40
398,2,19:40,20:00
398,3,17:00,17:40
398,3,17:40,18:20
398,3,18:20,19:00
398,3,19:00,19:40
398,3,19:40,20:00
398,4,17:00,17:40
398,4,17:40,18:20
398,4,18:20,19:00
398,4,19:00,19:40
398,4,19:40,20:00
398,6,8:00,8:40
398,6,8:40,9:20
398,6,9:20,10:00
398,6,10:00,10:40
398,6,10:40,11:20
398,6,11:20,12:00
398,6,12:00,12:40
398,6,12:40,13:20
398,6,13:20,14:00
395,6,13:00,13:15
395,6,13:15,13:30
395,6,13:30,13:45
395,6,13:45,14:00
395,6,14:00,14:15
395,6,14:15,14:30
395,6,14:30,14:45
395,6,14:45,15:00
394,2,16:00,16:20
394,2,16:20,16:40
394,2,16:40,17:00
394,3,16:30,17:00
394,3,17:00,17:20
394,3,17:20,17:40
394,3,17:40,18:00
394,3,18:00,18:20
394,3,18:20,18:40
394,3,18:40,19:00
394,3,19:00,19:20
394,3,19:20,19:40
394,3,19:40,20:00
394,4,16:30,17:00
394,4,17:00,17:20
394,4,17:20,17:40
394,4,17:40,18:00
394,4,18:00,18:20
394,4,18:20,18:40
394,4,18:40,19:00
394,4,19:00,19:20
394,4,19:20,19:40
394,4,19:40,20:00
394,5,16:30,17:00
394,5,17:00,17:20
394,5,17:20,17:40
394,5,17:40,18:00
394,5,18:00,18:20
394,5,18:20,18:40
394,5,18:40,19:00
394,5,19:00,19:20
394,5,19:20,19:40
394,5,19:40,20:00
394,6,9:30,10:00
394,6,10:00,10:20
394,6,10:20,10:40
394,6,10:40,11:00
394,6,11:00,11:20
394,6,11:20,11:40
394,6,11:40,12:00
394,6,12:00,12:20
394,6,12:20,12:40
394,6,12:40,13:00
394,6,13:00,13:20
394,6,13:20,13:40
394,6,13:40,14:00
376,2,17:40,18:00
376,2,18:00,18:20
376,2,18:20,18:40
376,2,18:40,19:00
376,2,19:00,19:20
376,2,19:20,19:40
376,2,19:40,20:00
376,3,17:40,18:00
376,3,18:00,18:20
376,3,18:20,18:40
376,3,18:40,19:00
376,3,19:00,19:20
376,3,19:20,19:40
376,3,19:40,20:00
376,4,17:40,18:00
376,4,18:00,18:20
376,4,18:20,18:40
376,4,18:40,19:00
376,4,19:00,19:20
376,4,19:20,19:40
376,4,19:40,20:00
376,5,17:40,18:00
376,5,18:00,18:20
376,5,18:20,18:40
376,5,18:40,19:00
376,5,19:00,19:20
376,5,19:20,19:40
376,5,19:40,20:00
376,6,17:40,18:00
376,6,18:00,18:20
376,6,18:20,18:40
376,6,18:40,19:00
376,6,19:00,19:20
376,6,19:20,19:40
376,6,19:40,20:00
376,7,9:00,9:20
376,7,9:20,9:40
376,7,9:40,10:00
376,7,10:00,10:20
376,7,10:20,10:40
376,7,10:40,11:00
376,7,11:00,11:20
376,7,11:20,11:40
376,7,11:40,12:00
376,7,12:00,12:20
376,7,12:20,12:40
376,7,12:40,13:00
376,7,13:00,13:20
376,7,13:20,13:40
376,7,13:40,14:00
376,7,14:00,14:20
376,7,14:20,14:40
376,7,14:40,15:00
376,7,15:00,15:20
376,7,15:20,15:40
376,7,15:40,16:00
376,7,16:00,16:20
376,7,16:20,16:40
376,7,16:40,17:00
375,2,8:00,8:20
375,2,8:20,8:40
375,2,8:40,9:00
375,2,9:00,9:20
375,2,9:20,9:40
375,2,9:40,10:00
375,2,10:00,10:20
375,2,10:20,10:40
375,2,10:40,11:00
375,2,11:00,11:20
375,2,11:20,11:40
375,2,11:40,12:00
375,2,12:00,12:20
375,2,12:20,12:40
375,2,12:40,13:00
375,2,13:00,13:20
375,2,13:20,13:40
375,2,13:40,14:00
375,2,14:00,14:20
375,2,14:20,14:40
375,2,14:40,15:00
375,3,8:00,8:20
375,3,8:20,8:40
375,3,8:40,9:00
375,3,9:00,9:20
375,3,9:20,9:40
375,3,9:40,10:00
375,3,10:00,10:20
375,3,10:20,10:40
375,3,10:40,11:00
375,3,11:00,11:20
375,3,11:20,11:40
375,3,11:40,12:00
375,3,12:00,12:20
375,3,12:20,12:40
375,3,12:40,13:00
375,3,13:00,13:20
375,3,13:20,13:40
375,3,13:40,14:00
375,3,14:00,14:20
375,3,14:20,14:40
375,3,14:40,15:00
375,4,8:00,8:20
375,4,8:20,8:40
375,4,8:40,9:00
375,4,9:00,9:20
375,4,9:20,9:40
375,4,9:40,10:00
375,4,10:00,10:20
375,4,10:20,10:40
375,4,10:40,11:00
375,4,11:00,11:20
375,4,11:20,11:40
375,4,11:40,12:00
375,4,12:00,12:20
375,4,12:20,12:40
375,4,12:40,13:00
375,4,13:00,13:20
375,4,13:20,13:40
375,4,13:40,14:00
375,4,14:00,14:20
375,4,14:20,14:40
375,4,14:40,15:00
375,5,8:00,8:20
375,5,8:20,8:40
375,5,8:40,9:00
375,5,9:00,9:20
375,5,9:20,9:40
375,5,9:40,10:00
375,5,10:00,10:20
375,5,10:20,10:40
375,5,10:40,11:00
375,5,11:00,11:20
375,5,11:20,11:40
375,5,11:40,12:00
375,5,12:00,12:20
375,5,12:20,12:40
375,5,12:40,13:00
375,5,13:00,13:20
375,5,13:20,13:40
375,5,13:40,14:00
375,5,14:00,14:20
375,5,14:20,14:40
375,5,14:40,15:00
375,6,8:00,8:20
