PROVIDERID,STATE
100,DE
100,WV
104,NH
108,KY
108,ME
128,OH
161,FL
168,DE
169,MA
177,RI
178,CT
202,PA
204,NH
210,CT
221,NH
228,OH
232,PA
252,MA
263,FL
283,PA
287,NH
289,NH
317,PA
329,CT
336,PA
363,CT
376,KY
7823,MA
90741,FL
90741,KY
90741,ME
100,OH
102,ME
102,WV
104,KY
104,ME
104,WV
107,OH
108,FL
108,NH
119,DE
119,NH
128,DE
161,KY
161,ME
168,OH
168,WV
174,CT
178,MA
179,PA
203,MA
204,KY
204,ME
204,WV
221,DE
228,DE
233,FL
236,KY
236,ME
236,WV
247,PA
253,DE
253,NH
263,KY
263,ME
270,KY
270,ME
270,WV
272,CT
272,PA
276,CT
278,NH
281,PA
301,CT
316,NJ
318,NJ
365,CT
2331,NJ
107,KY
107,ME
107,NH
116,DE
116,WV
128,FL
161,OH
177,CT
178,RI
179,CT
201,DE
201,WV
202,MA
205,NH
218,DE
218,WV
224,KY
224,ME
224,NH
228,FL
233,DE
233,WV
248,WV
252,PA
263,OH
271,NH
273,NH
277,CT
278,OH
279,NJ
282,WV
283,MA
395,OH
102,FL
102,KY
102,OH
103,OH
107,DE
107,WV
108,DE
116,KY
116,ME
119,FL
154,NJ
169,CT
174,MA
174,PA
177,MA
201,FL
201,KY
201,ME
202,CT
202,RI
203,RI
210,MA
210,PA
221,OH
224,WV
225,PA
233,KY
233,ME
252,CT
253,OH
270,FL
270,OH
271,OH
277,MA
282,NH
288,OH
289,OH
304,NJ
355,CT
357,PA
374,PA
2331,MA
90741,DE
90741,WV
100,NH
103,WV
104,DE
116,FL
118,DE
118,NH
119,KY
119,ME
128,WV
161,DE
161,NH
168,NH
174,RI
178,PA
203,PA
204,DE
205,FL
205,KY
205,ME
218,NH
221,WV
224,OH
228,WV
236,DE
236,NH
253,WV
264,PA
271,WV
273,KY
273,ME
278,WV
281,MA
286,NH
287,KY
287,ME
289,WV
294,NJ
341,CT
373,CT
398,ME
90741,NH
103,DE
103,NH
116,OH
118,OH
118,WV
128,NH
161,WV
175,NJ
201,NH
205,DE
218,OH
224,FL
226,CT
228,NH
232,MA
233,NH
234,NJ
247,CT
263,WV
264,MA
271,DE
278,DE
281,CT
282,OH
283,CT
286,KY
286,ME
286,WV
288,KY
290,KY
292,CT
297,PA
354,PA
7823,NH
90741,OH
100,FL
102,DE
102,NH
103,KY
103,ME
107,FL
108,OH
116,NH
119,WV
128,KY
128,ME
169,PA
179,MA
179,RI
201,OH
205,WV
210,NJ
221,KY
221,ME
225,CT
228,KY
228,ME
232,CT
233,OH
237,WV
247,MA
253,KY
253,ME
263,DE
264,CT
270,DE
270,NH
271,KY
271,ME
272,MA
274,NJ
278,KY
278,ME
287,WV
289,KY
289,ME
314,CT
337,PA
342,NJ
375,CT
376,OH
100,KY
100,ME
103,FL
104,FL
104,OH
108,WV
118,FL
118,KY
118,ME
119,OH
153,NJ
168,FL
168,KY
168,ME
169,RI
177,PA
203,CT
204,FL
204,OH
205,OH
218,FL
218,KY
218,ME
221,FL
224,DE
225,MA
226,MA
226,PA
236,FL
236,OH
253,FL
263,NH
273,DE
273,OH
273,WV
276,MA
276,PA
277,PA
282,KY
282,ME
322,CT
344,PA
376,WV
394,PA
